No,Type,Recommendation,Grade,Quality
1.3.5,CR,"A modified Ferriman Gallwey score (mFG) of 4 – 6 should be used to detect hirsutism, depending on ethnicity, acknowledging that self-treatment is common and can limit clinical assessment.",4,
1.3.6,CR,"Healthcare professionals should consider that the severity of hirsutism may vary by ethnicity but the prevalence of hirsutism appears similar across ethnicities.",3,
1.3.7,PP,"Healthcare professionals should: Be aware that standardized visual scales are preferred when assessing hirsutism, such as the mFG scale in combination with a photographic atlas. Consider the Ludwig or Olsen visual scales for assessing female pattern hair loss. Note that there are no universally accepted visual instruments for assessing the presence of acne. Recognize that women commonly treat clinical hyperandrogenism cosmetically, diminishing their apparent clinical severity. Appreciate that self-assessment of unwanted excess hair growth, and possibly acne and female pattern hair loss, has a high degree of validity and merits close evaluation, even if overt clinical signs of hyperandrogenism are not readily evident on examination. Note that only terminal hairs need to be considered in defining hirsutism, and these can reach >5 mm if untreated, vary in shape and texture, and are generally pigmented. Note that new-onset severe or worsening hyperandrogenism, including hirsutism, requires further investigation to rule out androgen-secreting tumours and ovarian hyperthecosis. Monitor clinical signs of hyperandrogenism, including hirsutism, acne and female pattern hair loss, for improvement or treatment adjustment during therapy.",,
1.4,,"Ultrasound and polycystic ovarian morphology",,
1.4.1,EBR,"Follicle number per ovary (FNPO) should be considered the most effective ultrasound marker to detect polycystic ovarian morphology (PCOM) in adults.",4,2
1.4.2,EBR,"Follicle number per ovary (FNPO), follicle number per cross-section (FNPS) and ovarian volume (OV) should be considered accurate ultrasound markers for PCOM in adults.",4,2
1.4.3,CR,"PCOM criteria should be based on follicle excess (FNPO, FNPS) and/or ovarian enlargement.",4,
1.4.4,CR,"Follicle number per ovary (FNPO) ≥ 20 in at least one ovary should be considered the threshold for PCOM in adults.",4,
1.4.5,CR,"Ovarian volume (OV) ≥ 10ml or follicle number per section (FNPS) ≥ 10 in at least one ovary in adults should be considered the threshold for PCOM if using older technology or image quality is insufficient to allow for an accurate assessment of follicle counts throughout the entire ovary.",4,
1.4.6,PP,"There are no definitive criteria to define polycystic ovary morphology (PCOM) on ultrasound in adolescents, hence it is not recommended in adolescents.",,
1.4.7,PP,"When an ultrasound is indicated, if acceptable to the individual, the transvaginal approach is the most accurate for the diagnosis of PCOM.",,
1.4.8,PP,"Transabdominal ultrasound should primarily report ovarian volume (OV) with a threshold of ≥ 10 ml or follicle number per section (FNPS) ≥ 10 in either ovary in adults given the difficulty of assessing follicle counts throughout the entire ovary with this approach.",,
1.4.9,PP,"In patients with irregular menstrual cycles and hyperandrogenism, an ovarian ultrasound is not necessary for PCOS diagnosis.",,
1.4.10,PP,"Thresholds for PCOM should be revised regularly with advancing ultrasound technology, and age-specific cut-off values for PCOM should be defined.",,
1.4.11,PP,"There is a need for training in careful and meticulous follicle counting per ovary and clear standardized protocols are recommended for PCOM reporting on ultrasound including at a minimum: Last menstrual period (or stage of cycle). Transducer bandwidth frequency. Approach/route assessed. Total number of 2 – 9 mm follicles per ovary. Measurements in three dimensions (in cm) or volume of each ovary. Other ovarian features and/or pathology including ovarian cysts, corpus lutea, dominant follicles (≥10 mm) (which should not be included in ovarian volume calculations). Reliance on the contralateral ovary FNPO for diagnosis of PCOM, where a dominant follicle is noted. Uterine features and/or pathology including endometrial thickness and pattern.",,
1.5,,"Anti-Müllerian Hormone in the diagnosis of PCOS",,
1.5.1,EBR,"Serum anti-Müllerian hormone (AMH) could be used for defining PCOM in adults.",3,3
1.5.2,EBR,"Serum AMH should only be used in accordance with the diagnostic algorithm, noting that in patients with irregular menstrual cycles and hyperandrogenism, an AMH level is not necessary for PCOS diagnosis.",4,3
1.5.3,EBR,"We recommend that serum AMH should not be used as a single test for the diagnosis of PCOS.",4,3
1.5.4,EBR,"Serum AMH should not yet be used in adolescents.",4,3
1.5.5,PP,"Either serum AMH or ultrasound may be used to define PCOM; however, both tests should not be performed to limit overdiagnosis.",,
1.5.6,PP,"Laboratories and healthcare professionals need to be aware of factors that influence AMH in the general population including: Age: Serum AMH generally peaks between the ages of 20-25 years in the general population. Body mass index (BMI): Serum AMH is lower in those with higher BMI in the general population. Hormonal contraception and ovarian surgery: Serum AMH may be suppressed by current or recent COCP use. Menstrual cycle day: Serum AMH may vary across the menstrual cycle.",,
1.5.7,PP,"Laboratories involved in AMH measurements in females should use population and assay specific cut-offs.",,
1.6,,"Ethnic variation",,
1.6.1,EBR,"Healthcare professionals should be aware of the high prevalence of PCOS in all ethnicities and across world regions, ranging from 10-13% globally using the Rotterdam criteria.",4,2
1.6.2,EBR,"Healthcare professionals should be aware that PCOS prevalence is broadly similar across world regions, but may be higher in South East Asian and Eastern Mediterranean regions.",4,2
1.6.3,PP,"Healthcare professionals should be aware that the presentation of PCOS may vary across ethnic groups.",,
1.7,,"Menopause life stage",,
1.7.1,CR,"A diagnosis of PCOS could be considered as enduring / lifelong.",3,
1.7.2,CR,"Healthcare professionals could consider that both clinical and biochemical hyperandrogenism persist in the postmenopause for women with PCOS.",3,
1.7.3,CR,"PCOS diagnosis could be considered postmenopause if there is a past diagnosis, or a long-term history of oligo-amenorrhoea with hyperandrogenism and/or PCOM, during the earlier reproductive years (age 20-40).",3,
1.7.4,CR,"Further investigations should be considered to rule out androgen-secreting tumours and ovarian hyperthecosis in postmenopausal women presenting with new-onset, severe or worsening hyperandrogenism including hirsutism.",3,
1.8,,"Cardiovascular disease risk",,
1.8.1,EBR,"Women with PCOS should be considered at increased risk of cardiovascular disease and potentially of cardiovascular mortality, acknowledging that the overall risk of cardiovascular disease in pre-menopausal women is low.",3,1
1.8.2,EBR,"All women with PCOS should be assessed for cardiovascular disease risk factors.",4,1
1.8.3,CR,"All women with PCOS, regardless of age and BMI, should have a lipid profile (cholesterol, low density lipoprotein cholesterol, high density lipoprotein cholesterol and triglyceride level) at diagnosis. Thereafter, frequency of measurement should be based on the presence of hyperlipidaemia and additional risk factors or global cardiovascular risk.",4,
1.8.4,CR,"All women with PCOS should have blood pressure measured annually and when planning pregnancy or seeking fertility treatment, given the high risk of hypertensive disorders in pregnancy and the associated comorbidities.",4,
1.8.5,CR,"Funding bodies should recognize that PCOS is highly prevalent with multisystem effects including cardiometabolic disease and should diversify and increase research support accordingly.",4,
1.8.6,CR,"Cardiovascular general population guidelines could consider the inclusion of PCOS as a cardiovascular risk factor.",3,
1.8.7,CR,"Healthcare professionals, women with PCOS and other stakeholders should all prioritize preventative strategies to reduce cardiovascular risk.",4,
1.8.8,PP,"Consideration should be given to the differences in cardiovascular risk factors, and cardiovascular disease, across ethnicities (see 1.6.1) and age, when determining frequency of risk assessment.",,
1.9,,"Impaired glucose tolerance and type 2 diabetes risk",,
1.9.1,EBR,"Healthcare professionals and women with PCOS should be aware that, regardless of age and BMI, women with PCOS have an increased risk of impaired fasting glucose, impaired glucose tolerance and type 2 diabetes.",4,2
1.9.2,EBR,"Glycaemic status should be assessed at diagnosis in all adults and adolescents with PCOS.",4,2
1.9.3,CR,"Glycaemic status should be reassessed every one to three years, based on additional individual risk factors for diabetes.",4,
1.9.4,CR,"Healthcare professionals, women with PCOS and other stakeholders should prioritize preventative strategies to reduce type 2 diabetes risk.",4,
1.9.5,CR,"Funding bodies should recognize that PCOS is highly prevalent, has significantly higher risk for diabetes, and should be funded accordingly.",4,
1.9.6,CR,"Diabetes general population guidelines should consider the inclusion of PCOS as an independent risk factor for diabetes.",4,
1.9.7,PP,"Healthcare professionals, adults and adolescents with PCOS and their first-degree relatives, should be aware of the increased risk of diabetes and the need for regular glycaemic assessment.",,
1.9.8,PP,"Women with type 1 and type 2 diabetes have an increased risk of PCOS and screening should be considered in individuals with diabetes.",,
1.9.9,EBR,"Healthcare professionals and women with PCOS should recommend the 75-g oral glucose tolerance test (OGTT) as the most accurate test to assess glycaemic status in PCOS, regardless of BMI.",4,1
1.9.10,EBR,"If an OGTT cannot be performed, fasting plasma glucose and/or glycated haemoglobin (HbA1c) could be considered, noting significantly reduced accuracy.",3,1
1.9.11,EBR,"An OGTT should be considered in all women with PCOS and without pre-existing diabetes, when planning pregnancy or seeking fertility treatment, given the high risk of hyperglycaemia and the associated comorbidities in pregnancy. If not performed preconception, an OGTT could be offered at the first prenatal visit and all women with PCOS should be offered the test at 24-28 weeks gestation.",3,1
1.9.12,PP,"Insulin resistance is a pathophysiological factor in PCOS, however, clinically available insulin assays are of limited clinical relevance and are not recommended in routine care (refer to 3.1.10).",,
1.10,,"Obstructive Sleep Apnea",,
1.10.1,EBR,"Healthcare professionals should be aware that women with PCOS have significantly higher prevalence of obstructive sleep apnea compared to women without PCOS, independent of BMI.",4,3
1.10.2,EBR,"Women with PCOS should be assessed for symptoms of obstructive sleep apnea (i.e., snoring in combination with waking unrefreshed from sleep, daytime sleepiness or fatigue) and if present, screen with validated tools or refer for assessment.",4,3
1.10.3,PP,"Simple obstructive sleep apnea screening questionnaires (such as the Berlin questionnaire, validated in the general population) can assist in identifying obstructive sleep apnea in women with PCOS, noting that diagnosis requires a formal sleep study.",,
1.10.4,PP,"Goals of treatment should target obstructive sleep apnea related symptom burden.",,
1.11,,"Endometrial hyperplasia and cancer",,
1.11.1,EBR,"Healthcare professionals should be aware that premenopausal women with PCOS have markedly higher risk of developing endometrial hyperplasia and endometrial cancer.",4,1
1.11.2,PP,"Women with PCOS should be informed about the increased risk of endometrial hyperplasia and endometrial cancer, acknowledging that the overall chance of developing endometrial cancer is low, therefore routine screening is not recommended.",,
1.11.3,PP,"Long-standing untreated amenorrhea, higher weight, type 2 diabetes and persistent thickened endometrium are additional to PCOS as risk factors for endometrial hyperplasia and endometrial cancer.",,
1.11.4,PP,"Women with PCOS should be informed of preventative strategies including weight management, cycle regulation and regular progestogen therapy.",,
1.11.5,PP,"When excessive endometrial thickness is detected, consideration of a biopsy with histological analysis and withdrawal bleed is indicated.",,
1.12,,"Risks in first degree relatives",,
1.12.1,EBR,"Healthcare professionals could consider that fathers and brothers of women with PCOS may have an increased prevalence of metabolic syndrome, type 2 diabetes, and hypertension.",3,1
1.12.2,PP,"The cardiometabolic risk in female first degree relatives of women with PCOS remains inconclusive.",,
